tconst	ordering	nconst	category	job	characters
tt0000001	1	nm1588970	self	""	"[""Self""]"
tt0000001	2	nm0005690	director	""	""
tt0000001	3	nm0374658	cinematographer	director of photography	""
tt0000002	1	nm0721526	director	""	""
tt0000002	2	nm1335271	composer	""	""
tt0000003	1	nm0721526	director	""	""
tt0000003	2	nm1770680	producer	producer	""
tt0000003	3	nm1335271	composer	""	""
tt0000003	4	nm5442200	editor	""	""
tt0000004	1	nm0721526	director	""	""
tt0000004	2	nm1335271	composer	""	""
tt0000005	1	nm0443482	actor	""	"[""Blacksmith""]"
tt0000005	2	nm0653042	actor	""	"[""Assistant""]"
tt0000005	3	nm0005690	director	""	""
tt0000005	4	nm0249379	producer	producer	""
tt0000006	1	nm0005690	director	""	""
tt0000007	1	nm0179163	actor	""	""
tt0000007	2	nm0183947	actor	""	""
tt0000007	3	nm0005690	director	""	""
tt0000007	4	nm0374658	director	""	""
tt0000007	5	nm0249379	producer	producer	""
tt0000008	1	nm0653028	actor	""	"[""Sneezing Man""]"
tt0000008	2	nm0005690	director	""	""
tt0000008	3	nm0374658	cinematographer	""	""
tt0000009	1	nm0063086	actress	""	"[""Miss Geraldine Holbrook (Miss Jerry)""]"
tt0000009	2	nm0183823	actor	""	"[""Mr. Hamilton""]"
tt0000009	3	nm1309758	actor	""	"[""Chauncey Depew - the Director of the New York Central Railroad""]"
tt0000009	4	nm0085156	director	""	""
tt0000010	1	nm0525910	director	""	""
tt0000011	1	nm3692297	actor	""	"[""Acrobats""]"
tt0000011	2	nm0804434	director	""	""
tt0000012	1	nm2880396	self	""	"[""Self""]"
tt0000012	2	nm9735580	self	""	"[""Self""]"
tt0000012	3	nm0525900	self	""	"[""Self""]"
tt0000012	4	nm9735581	self	""	"[""Self""]"
tt0000012	5	nm0525908	director	""	""
tt0000012	6	nm0525910	director	""	""
tt0000012	7	nm9735579	self	""	"[""Self""]"
tt0000012	8	nm9653419	self	""	"[""Self""]"
tt0000013	1	nm0525908	self	""	"[""Self""]"
tt0000013	2	nm1715062	self	""	"[""Self""]"
tt0000013	3	nm0525910	director	""	""
tt0000014	1	nm0166380	actor	""	"[""The Gardener""]"
tt0000014	2	nm0244989	actor	""	"[""The Boy""]"
tt0000014	3	nm0525910	director	""	""
tt0000015	1	nm0721526	director	""	""
tt0000016	1	nm0525900	self	""	"[""Self (on the pier)""]"
tt0000016	2	nm9735581	self	""	"[""Self (on the pier)""]"
tt0000016	3	nm0525910	director	""	""
tt0000017	1	nm3691272	actor	""	"[""The boy""]"
tt0000017	2	nm3692829	actress	""	"[""The girl""]"
tt0000017	3	nm1587194	director	""	""
tt0000017	4	nm0804434	director	""	""
tt0000018	1	nm3692071	actor	""	"[""The Boxer""]"
tt0000018	2	nm0804434	director	""	""
tt0000019	1	nm0932055	director	""	""
tt0000020	1	nm0010291	director	""	""
tt0000020	2	nm0666972	producer	producer	""
tt0000022	1	nm0525910	director	""	""
tt0000023	1	nm0525910	director	""	""
tt0000024	1	nm0256651	self	""	"[""Self - Empress of Gemany""]"
tt0000024	2	nm0435118	self	""	"[""Self - Emperor of Germany""]"
tt0000024	3	nm0010291	director	""	""
tt0000024	4	nm0666972	producer	producer	""
tt0000025	1	nm0010291	director	""	""
tt0000025	2	nm0666972	producer	producer	""
tt0000026	1	nm2350007	actor	""	"[""Valet""]"
tt0000026	2	nm0525907	actor	""	"[""Man playing cards, seated on the left""]"
tt0000026	3	nm1151424	actor	""	"[""Man playing cards, seated on the right""]"
tt0000026	4	nm2354154	actor	""	"[""Man playing cards, seated in the middle""]"
tt0000026	5	nm0525910	director	""	""
tt0000027	1	nm0525910	director	""	""
tt0000028	1	nm2350838	self	""	"[""Self""]"
tt0000028	2	nm0525908	self	""	"[""Self""]"
tt0000028	3	nm0525910	director	""	""
tt0000029	1	nm0525908	self	""	"[""Self""]"
tt0000029	2	nm0525900	self	""	"[""Self""]"
tt0000029	3	nm2350838	self	""	"[""Self""]"
tt0000029	4	nm0525910	director	""	""
tt0000030	1	nm0010291	director	""	""
tt0000030	2	nm0666972	director	""	""
tt0000031	1	nm0525910	director	""	""
tt0000032	1	nm3692479	actress	""	"[""The dancer""]"
tt0000032	2	nm0804434	director	""	""
tt0000033	1	nm0525910	director	""	""
tt0000034	1	nm0617588	director	""	""
tt0000035	1	nm0617588	director	""	""
tt0000036	1	nm0420198	actor	""	"[""Rip Van Winkle""]"
tt0000036	2	nm0005690	director	""	""
tt0000036	3	nm0410331	writer	"story ""Rip Van Winkle"""	""
tt0000036	4	nm0005658	cinematographer	""	""
tt0000037	1	nm0617588	director	""	""
tt0000038	1	nm2960633	self	""	"[""Self - First baseman""]"
tt0000038	2	nm0340719	self	""	"[""Self""]"
tt0000038	3	nm2958402	self	""	"[""Self""]"
tt0000038	4	nm0374658	director	""	""
tt0000039	1	nm0666972	producer	producer	""
tt0000040	1	nm0617588	director	""	""
tt0000041	1	nm0525910	director	""	""
tt0000041	2	nm0525908	producer	producer	""
tt0000042	1	nm0617588	director	""	""
tt0000043	1	nm0617588	director	""	""
tt0000044	1	nm0617588	director	""	""
tt0000045	1	nm0617588	director	""	""
tt0000046	1	nm0617588	director	""	""
tt0000047	1	nm0617588	director	""	""
tt0000048	1	nm0010291	director	""	""
tt0000049	1	nm0010291	director	""	""
tt0000050	1	nm3029234	self	""	"[""Self""]"
tt0000050	2	nm0617588	director	""	""
tt0000051	1	nm0617588	director	""	""
tt0000052	1	nm0895515	director	""	""
tt0000052	2	nm1729239	cinematographer	""	""
tt0000053	1	nm0684607	director	""	""
tt0000054	1	nm0617588	director	""	""
tt0000055	1	nm0617588	director	""	""
tt0000056	1	nm0795060	director	""	""
tt0000057	1	nm0874739	self	""	"[""Self (Tsar of Russia)""]"
tt0000057	2	nm0874746	self	""	"[""Self (Tsarina of Russia)""]"
tt0000057	3	nm0617588	director	""	""
tt0000058	1	nm0874739	self	""	"[""Self (Tsar of Russia)""]"
tt0000058	2	nm0617588	director	""	""
tt0000059	1	nm0617588	director	""	""
tt0000060	1	nm0005690	director	""	""
tt0000060	2	nm0005658	cinematographer	""	""
tt0000061	1	nm4007970	actress	""	""
tt0000061	2	nm0010291	director	""	""
tt0000061	3	nm0666972	producer	producer	""
tt0000062	1	nm0617588	director	""	""
tt0000063	1	nm0617588	actor	""	"[""Georges Méliès""]"
tt0000064	1	nm0617588	actor	""	"[""Lightening Sketch Artist""]"
tt0000065	1	nm0617588	actor	""	"[""Lightening Sketch Artist""]"
tt0000066	1	nm0617588	actor	""	"[""Lightening Sketch Artist""]"
tt0000067	1	nm0617588	director	""	""
tt0000068	1	nm0617588	director	""	""
tt0000069	1	nm0617588	director	""	""
tt0000070	1	nm0525908	actor	""	""
tt0000070	2	nm0525910	director	""	""
tt0000071	1	nm0617588	director	""	""
tt0000072	1	nm0617588	director	""	""
tt0000073	1	nm0617588	director	""	""
tt0000074	1	nm0617588	director	""	""
tt0000075	1	nm0194945	actress	""	"[""Woman""]"
tt0000075	2	nm0617588	actor	""	"[""Magician""]"
tt0000076	1	nm0420198	actor	""	"[""Rip Van Winkle""]"
tt0000076	2	nm0005690	director	""	""
tt0000076	3	nm0410331	writer	"story ""Rip Van Winkle"""	""
tt0000076	4	nm0005658	cinematographer	""	""
tt0000077	1	nm0617588	director	""	""
tt0000078	1	nm0234288	director	""	""
tt0000079	1	nm0617588	director	""	""
tt0000080	1	nm0617588	director	""	""
tt0000081	1	nm0617588	director	""	""
tt0000082	1	nm0005690	director	""	""
tt0000082	2	nm0005658	cinematographer	""	""
tt0000083	1	nm0617588	director	""	""
tt0000084	1	nm0617588	director	""	""
tt0000085	1	nm0617588	director	""	""
tt0000086	1	nm0617588	director	""	""
tt0000087	1	nm0617588	director	""	""
tt0000088	1	nm0617588	director	""	""
tt0000089	1	nm0525908	director	""	""
tt0000089	2	nm0698645	director	""	""
tt0000089	3	nm0525910	producer	producer	""
tt0000090	1	nm0617588	director	""	""
tt0000091	1	nm0194945	actress	""	"[""Young woman""]"
tt0000091	2	nm6170115	actor	""	"[""Mephistopheles""]"
tt0000091	3	nm0617588	actor	""	"[""Mephistopheles""]"
tt0000092	1	nm0617588	director	""	""
tt0000093	1	nm0525908	director	""	""
tt0000093	2	nm0525910	director	""	""
tt0000094	1	nm9513675	self	""	"[""Self""]"
tt0000094	2	nm0617588	director	""	""
tt0000095	1	nm0617588	director	""	""
tt0000096	1	nm0617588	director	""	""
tt0000097	1	nm0617588	director	""	""
tt0000098	1	nm0617588	director	""	""
tt0000099	1	nm0617588	director	""	""
tt0000100	1	nm0617588	director	""	""
tt0000101	1	nm0617588	director	""	""
tt0000102	1	nm0617588	director	""	""
tt0000103	1	nm0617588	director	""	""
tt0000104	1	nm0525910	producer	producer	""
tt0000105	1	nm0617588	director	""	""
tt0000106	1	nm0617588	director	""	""
tt0000107	1	nm0617588	director	""	""
tt0000108	1	nm0420198	actor	""	"[""Rip Van Winkle""]"
tt0000108	2	nm0005690	director	""	""
tt0000108	3	nm0410331	writer	"story ""Rip Van Winkle"""	""
tt0000108	4	nm0005658	cinematographer	""	""
tt0000109	1	nm0420198	actor	""	"[""Rip Van Winkle""]"
tt0000109	2	nm0005690	director	""	""
tt0000109	3	nm0410331	writer	"story ""Rip Van Winkle"""	""
tt0000109	4	nm0005658	cinematographer	""	""
tt0000110	1	nm0420198	actor	""	"[""Rip Van Winkle""]"
tt0000110	2	nm0005690	director	""	""
tt0000110	3	nm0410331	writer	"story ""Rip Van Winkle"""	""
tt0000110	4	nm0005658	cinematographer	""	""
tt0000111	1	nm0420198	actor	""	"[""Rip Van Winkle""]"
tt0000111	2	nm0005690	director	""	""
tt0000111	3	nm0410331	writer	"story ""Rip Van Winkle"""	""
tt0000111	4	nm0005658	cinematographer	""	""
tt0000112	1	nm0420198	actor	""	"[""Rip Van Winkle""]"
tt0000112	2	nm0005690	director	""	""
tt0000112	3	nm0410331	writer	"story ""Rip Van Winkle"""	""
tt0000112	4	nm0005658	cinematographer	""	""
tt0000113	1	nm0420198	actor	""	"[""Rip Van Winkle""]"
tt0000113	2	nm0005690	director	""	""
tt0000113	3	nm0410331	writer	"story ""Rip Van Winkle"""	""
tt0000113	4	nm0005658	cinematographer	""	""
tt0000114	1	nm0617588	director	""	""
tt0000115	1	nm0617588	director	""	""
tt0000116	1	nm0617588	director	""	""
tt0000117	1	nm0234288	director	""	""
tt0000118	1	nm0617588	director	""	""
tt0000119	1	nm0617588	director	""	""
tt0000120	1	nm0617588	director	""	""
tt0000121	1	nm0832461	actor	""	"[""The Soldier""]"
tt0000121	2	nm0780534	actress	""	"[""The Girl""]"
tt0000121	3	nm5718242	actress	""	"[""The Woman""]"
tt0000121	4	nm0609678	director	""	""
tt0000121	5	nm0666972	producer	producer	""
tt0000122	1	nm0617588	director	""	""
tt0000123	1	nm0617588	self	""	"[""Self (stage magician)""]"
tt0000124	1	nm0617588	director	""	""
tt0000125	1	nm0666972	producer	producer	""
tt0000126	1	nm0617588	director	""	""
tt0000127	1	nm0617588	director	""	""
tt0000128	1	nm0617588	director	""	""
tt0000129	1	nm0617588	director	""	""
tt0000130	1	nm0617588	director	""	""
tt0000131	1	nm0617588	actor	""	"[""L'homme qui essaie de dormir""]"
tt0000132	1	nm9342429	actress	""	"[""La Serveuse""]"
tt0000132	2	nm0577734	actor	""	"[""Un joueur de cartes""]"
tt0000132	3	nm0617588	actor	""	"[""Un joueur de cartes""]"
tt0000132	4	nm3029234	actress	""	"[""La petite fille""]"
tt0000133	1	nm0617588	director	""	""
tt0000135	1	nm0005690	director	""	""
tt0000135	2	nm0005658	cinematographer	""	""
tt0000137	1	nm0349785	director	""	""
tt0000138	1	nm0617588	actor	""	"[""Inn Guest""]"
tt0000139	1	nm0349785	director	""	""
tt0000140	1	nm0349785	director	""	""
tt0000141	1	nm0349785	director	""	""
tt0000142	1	nm0168621	actor	""	""
tt0000142	2	nm0924920	director	""	""
tt0000142	3	nm0374658	cinematographer	""	""
tt0000143	1	nm0349785	director	""	""
tt0000144	1	nm0349785	director	""	""
tt0000145	1	nm0349785	director	""	""
tt0000146	1	nm0349785	director	""	""
tt0000147	1	nm0179163	self	""	"[""Self""]"
tt0000147	2	nm0280615	self	""	"[""Self""]"
tt0000147	3	nm4082222	self	""	"[""Self - Sullivan's Manager""]"
tt0000147	4	nm4081458	self	""	"[""Self - Referee""]"
tt0000147	5	nm0714557	director	""	""
tt0000147	6	nm0103755	producer	producer	""
tt0000147	7	nm2256592	self	""	"[""Self - Master of Ceremonies""]"
tt0000148	1	nm0349785	director	""	""
tt0000149	1	nm0617588	director	""	""
tt0000150	1	nm0349785	director	""	""
tt0000151	1	nm0194945	actress	""	""
tt0000151	2	nm0617588	director	""	""
tt0000152	1	nm0617588	actor	""	""
tt0000153	1	nm0808310	director	""	""
tt0000154	1	nm0010291	director	""	""
tt0000155	1	nm0617588	director	""	""
tt0000156	1	nm0617588	director	""	""
tt0000157	1	nm0349785	director	""	""
tt0000158	1	nm0349785	director	""	""
tt0000159	1	nm0617588	director	""	""
tt0000160	1	nm0095816	director	""	""
tt0000160	2	nm0666972	producer	producer	""
tt0000161	1	nm0349785	director	""	""
tt0000162	1	nm0698645	director	""	""
tt0000162	2	nm0525908	producer	producer	""
tt0000162	3	nm0525910	producer	producer	""
tt0000163	1	nm0349785	director	""	""
tt0000164	1	nm0349785	director	""	""
tt0000165	1	nm0024876	actor	""	""
tt0000165	2	nm0278321	actor	""	""
tt0000165	3	nm0005717	actor	""	""
tt0000165	4	nm0556371	actor	""	""
tt0000165	5	nm0083196	cinematographer	""	""
tt0000165	6	nm0563758	actor	""	""
tt0000166	1	nm0005717	director	""	""
tt0000167	1	nm0422809	director	""	""
tt0000168	1	nm0005717	director	""	""
tt0000169	1	nm0698645	director	""	""
tt0000169	2	nm0677318	producer	producer	""
tt0000170	1	nm0666972	director	""	""
tt0000171	1	nm0349785	director	""	""
tt0000172	1	nm0809419	actress	""	""
tt0000172	2	nm0338379	actor	""	"[""Professor""]"
tt0000172	3	nm0808310	director	""	""
tt0000173	1	nm0085865	director	""	""
tt0000174	1	nm0841389	actor	""	"[""Sausage Vendor""]"
tt0000174	2	nm1024447	actor	""	"[""Sticker""]"
tt0000174	3	nm0471818	director	""	""
tt0000175	1	nm0795060	director	""	""
tt0000175	2	nm0666972	producer	producer	""
tt0000176	1	nm0666972	producer	producer	""
tt0000177	1	nm0085865	actor	""	"[""The Burglar""]"
tt0000177	2	nm0807236	cinematographer	""	""
tt0000178	1	nm0692105	director	""	""
tt0000179	1	nm0617588	director	""	""
tt0000180	1	nm0349785	director	""	""
tt0000181	1	nm0809419	actress	""	"[""Cinderella""]"
tt0000181	2	nm0808310	director	""	""
tt0000181	3	nm0674518	writer	"story ""Cendrillon"""	""
tt0000182	1	nm0666972	director	""	""
tt0000183	1	nm0808310	director	""	""
tt0000183	2	nm0241416	writer	novel	""
tt0000184	1	nm0924920	director	""	""
tt0000185	1	nm0349785	director	""	""
tt0000186	1	nm0617588	director	""	""
tt0000187	1	nm0349785	director	""	""
tt0000188	1	nm0666972	director	""	""
tt0000189	1	nm0005717	director	""	""
tt0000190	1	nm0841389	actor	""	"[""Old Philanderer""]"
tt0000190	2	nm1024447	actor	""	"[""Man with Broom""]"
tt0000190	3	nm0471818	director	""	""
tt0000191	1	nm0349785	director	""	""
tt0000192	1	nm0518132	self	""	"[""Self""]"
tt0000192	2	nm0924920	director	""	""
tt0000192	3	nm0238900	writer	"novel ""Trilby"""	""
tt0000192	4	nm0374658	cinematographer	""	""
tt0000193	1	nm0349785	director	""	""
tt0000194	1	nm0378408	director	""	""
tt0000195	1	nm0349785	director	""	""
tt0000196	1	nm0808310	director	""	""
tt0000196	2	nm0324473	writer	novel	""
tt0000197	1	nm0349785	director	""	""
tt0000198	1	nm0349785	director	""	""
tt0000199	1	nm0666972	producer	producer	""
tt0000200	1	nm1380868	self	""	"[""Self""]"
tt0000201	1	nm0168621	self	""	"[""Self""]"
tt0000201	2	nm0005690	director	""	""
tt0000201	3	nm0249379	producer	producer	""
tt0000202	1	nm0349785	director	""	""
tt0000203	1	nm0349785	director	""	""
tt0000204	1	nm0349785	director	""	""
tt0000205	1	nm0349785	director	""	""
tt0000206	1	nm0005717	director	""	""
tt0000207	1	nm0666972	producer	producer	""
tt0000208	1	nm0808310	director	""	""
tt0000209	1	nm0808310	director	""	""
tt0000210	1	nm0617588	actor	""	""
tt0000211	1	nm0194945	actress	""	"[""Phoebe - la bonne fée""]"
tt0000211	2	nm0617588	actor	""	"[""L'astronome""]"
tt0000212	1	nm0795060	director	""	""
tt0000213	1	nm0349785	director	""	""
tt0000214	1	nm0085865	actor	""	"[""Hand that tears down the Spanish flag""]"
tt0000214	2	nm0807236	producer	producer	""
tt0000215	1	nm0841389	actor	""	""
tt0000215	2	nm0471818	director	""	""
tt0000216	1	nm1997201	self	""	"[""Self""]"
tt0000216	2	nm0454367	self	""	"[""Self""]"
tt0000216	3	nm0005717	director	""	""
tt0000217	1	nm0808310	director	""	""
tt0000218	1	nm0617588	actor	""	"[""Fernand Labori""]"
tt0000219	1	nm0808310	director	""	""
tt0000220	1	nm0666972	producer	producer	""
tt0000221	1	nm0182052	director	""	""
tt0000222	1	nm0349785	director	""	""
tt0000223	1	nm0349785	director	""	""
tt0000224	1	nm0666972	producer	producer	""
tt0000225	1	nm0207305	writer	story	""
tt0000226	1	nm0378408	producer	producer	""
tt0000227	1	nm4427898	director	""	""
tt0000227	2	nm0666972	producer	producer	""
tt0000228	1	nm0349785	director	""	""
tt0000229	1	nm0857203	writer	poem	""
tt0000229	2	nm0924920	producer	producer	""
tt0000229	3	nm0595213	composer	""	""
tt0000230	1	nm1333156	actress	""	"[""Cinderella""]"
tt0000230	2	nm0076933	actress	""	"[""The Fairy Godmother""]"
tt0000230	3	nm1778224	actor	""	"[""Prince Charming""]"
tt0000230	4	nm0194945	actress	""	"[""Fairy Godmother""]"
tt0000230	5	nm0617588	director	""	""
tt0000230	6	nm0674518	writer	"story ""Cinderella"""	""
tt0000230	7	nm1778292	actor	""	"[""Party Guest""]"
tt0000231	1	nm0795060	director	""	""
tt0000231	2	nm0666972	producer	producer	""
tt0000232	1	nm0349785	director	""	""
tt0000233	1	nm0005717	director	""	""
tt0000234	1	nm0194945	actress	""	"[""Cleopatre""]"
tt0000234	2	nm0617588	actor	""	"[""Tomb Digger""]"
tt0000235	1	nm0194945	actress	""	"[""Ayesha""]"
tt0000235	2	nm0617588	actor	""	"[""The Devil""]"
tt0000235	3	nm0353584	writer	"novel ""She"""	""
tt0000236	1	nm0349785	director	""	""
tt0000237	1	nm0349785	director	""	""
tt0000238	1	nm0349785	director	""	""
tt0000239	1	nm0298291	self	""	"[""Self""]"
tt0000239	2	nm0349785	director	""	""
tt0000240	1	nm0005658	cinematographer	""	""
tt0000240	2	nm0555522	cinematographer	""	""
tt0000241	1	nm0349785	director	""	""
tt0000242	1	nm0617588	actor	""	"[""The Devil""]"
tt0000243	1	nm0349785	director	""	""
tt0000244	1	nm0349785	director	""	""
tt0000245	1	nm0002615	producer	producer	""
tt0000246	1	nm0617588	actor	""	"[""Magician""]"
tt0000247	10	nm6010696	production_designer	""	""
tt0000247	1	nm0002504	actor	""	"[""King John""]"
tt0000247	2	nm0784327	actor	""	"[""Prince Henry""]"
tt0000247	3	nm2259742	actor	""	"[""Arthur""]"
tt0000247	4	nm0924893	actor	""	"[""Earl of Pembroke""]"
